timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2026-04-01T00:00:00.000Z";"2026-04-01T23:59:59.999Z";"2026-04-01T07:12:00.000Z";"2026-04-01T02:37:00.000Z";"2787";60.5189984555;62.8772984357;60.2222918444;61.4205751726;4431905687.731095;43635774267.13679;708099970.45;"2026-04-01T23:59:59.999Z"
"2026-03-31T00:00:00.000Z";"2026-03-31T23:59:59.999Z";"2026-03-31T17:26:00.000Z";"2026-03-31T10:00:00.000Z";"2787";59.5221981669;61.0658983011;58.796277537;60.5185381876;2890548696.9676967;42964135609.70483;708099970.45;"2026-03-31T23:59:59.999Z"
"2026-03-30T00:00:00.000Z";"2026-03-30T23:59:59.999Z";"2026-03-30T13:25:00.000Z";"2026-03-30T00:10:00.000Z";"2787";58.0958416279;61.4505812409;58.0885649822;59.5214386692;2417214050.6187134;42143703510.70491;708099970.45;"2026-03-30T23:59:59.999Z"
"2026-03-29T00:00:00.000Z";"2026-03-29T23:59:59.999Z";"2026-03-29T03:23:00.000Z";"2026-03-29T22:52:00.000Z";"2787";58.2546848599;59.1348494636;57.0074140354;58.0959093911;1621694607.5188978;41137961328.11012;708099970.45;"2026-03-29T23:59:59.999Z"
"2026-03-28T00:00:00.000Z";"2026-03-28T23:59:59.999Z";"2026-03-28T15:25:00.000Z";"2026-03-28T23:59:00.000Z";"2787";59.1922062383;59.9467628538;58.2533049477;58.2545800455;1766123128.7588656;41250140628.07903;708099970.45;"2026-03-28T23:59:59.999Z"
"2026-03-27T00:00:00.000Z";"2026-03-27T23:59:59.999Z";"2026-03-27T02:34:00.000Z";"2026-03-27T20:37:00.000Z";"2787";61.6130267351;62.0211859156;58.7184954141;59.1922699043;2781170044.094768;41911865494.03102;708099970.45;"2026-03-27T23:59:59.999Z"
"2026-03-26T00:00:00.000Z";"2026-03-26T23:59:59.999Z";"2026-03-26T00:02:00.000Z";"2026-03-26T18:35:00.000Z";"2787";64.6994535804;64.7157454237;60.9242949903;61.612606675;4354804419.82899;43564755245.317635;708099970.45;"2026-03-26T23:59:59.999Z"
"2026-03-25T00:00:00.000Z";"2026-03-25T23:59:59.999Z";"2026-03-25T13:43:00.000Z";"2026-03-25T03:25:00.000Z";"2787";63.7335340413;65.4089003802;63.2739304403;64.6994535804;4380598036.068693;45755264825.224396;708099970.45;"2026-03-25T23:59:59.999Z"
"2026-03-24T00:00:00.000Z";"2026-03-24T23:59:59.999Z";"2026-03-24T23:41:00.000Z";"2026-03-24T17:50:00.000Z";"2787";62.6330595035;63.8058585269;62.1807892612;63.7335340413;4786708171.82424;45049834495.74889;708099970.45;"2026-03-24T23:59:59.999Z"
"2026-03-23T00:00:00.000Z";"2026-03-23T23:59:59.999Z";"2026-03-23T15:07:00.000Z";"2026-03-23T07:30:00.000Z";"2787";59.8099474667;63.8237623253;59.3326203953;62.6311861495;6473601836.177415;44388497924.499245;708099970.45;"2026-03-23T23:59:59.999Z"
"2026-03-22T00:00:00.000Z";"2026-03-22T23:59:59.999Z";"2026-03-22T03:37:00.000Z";"2026-03-22T21:22:00.000Z";"2787";60.6633103593;61.6288919444;59.1264471869;59.8099365655;4134392168.6351404;42351422033.93079;708099970.45;"2026-03-22T23:59:59.999Z"
"2026-03-21T00:00:00.000Z";"2026-03-21T23:59:59.999Z";"2026-03-21T03:13:00.000Z";"2026-03-21T23:59:00.000Z";"2787";62.7573798661;63.0756966074;60.6269327895;60.6513627573;2510249514.9754906;42955688272.98923;708099970.45;"2026-03-21T23:59:59.999Z"
"2026-03-20T00:00:00.000Z";"2026-03-20T23:59:59.999Z";"2026-03-20T08:16:00.000Z";"2026-03-20T18:40:00.000Z";"2787";62.4309898966;63.2397723366;61.7786046521;62.7573798661;4284164589.4899917;44529487274.72312;708099970.45;"2026-03-20T23:59:59.999Z"
"2026-03-19T00:00:00.000Z";"2026-03-19T23:59:59.999Z";"2026-03-19T03:31:00.000Z";"2026-03-19T14:40:00.000Z";"2787";63.4095160034;64.3079973784;61.4694330597;62.4311203237;4783762267.21766;44031526345.97144;708099970.45;"2026-03-19T23:59:59.999Z"
"2026-03-18T00:00:00.000Z";"2026-03-18T23:59:59.999Z";"2026-03-18T03:38:00.000Z";"2026-03-18T20:13:00.000Z";"2787";67.4572196251;68.2256656176;62.5760817254;63.4095942998;5061310377.940871;44990429079.27147;708099970.45;"2026-03-18T23:59:59.999Z"
"2026-03-17T00:00:00.000Z";"2026-03-17T23:59:59.999Z";"2026-03-17T01:14:00.000Z";"2026-03-17T06:08:00.000Z";"2787";68.4575112964;68.9055461318;66.8305973675;67.4579767636;5324194099.4935255;47831305823.678474;708099970.45;"2026-03-17T23:59:59.999Z"
"2026-03-16T00:00:00.000Z";"2026-03-16T23:59:59.999Z";"2026-03-16T22:10:00.000Z";"2026-03-16T01:19:00.000Z";"2787";65.3946886148;69.385658193;65.0035485063;68.4591828175;7610272754.571124;48477573405.81252;708099970.45;"2026-03-16T23:59:59.999Z"
"2026-03-15T00:00:00.000Z";"2026-03-15T23:59:59.999Z";"2026-03-15T23:10:00.000Z";"2026-03-15T01:25:00.000Z";"2787";63.1828460793;65.6957637179;62.9302891113;65.3944376121;4203969131.9918675;46305977075.91696;708099970.45;"2026-03-15T23:59:59.999Z"
